Date,Price,Open,High,Low,Vol.,
14-Jun-19,62.01,61.25,62.57,60.74,262.31,
13-Jun-19,61.31,59.94,62.64,59.78,435.42,
12-Jun-19,59.97,61.79,61.85,59.57,343.21,
11-Jun-19,62.29,62.3,62.87,62.01,302.74,
10-Jun-19,62.29,63.58,64.1,62.05,278.49,
7-Jun-19,63.29,62.4,63.59,61.77,307.96,
6-Jun-19,61.67,60.4,62.43,60.22,343.64,
5-Jun-19,60.63,61.58,62.27,59.45,428.01,
4-Jun-19,61.97,61,62.12,60.21,370.27,
3-Jun-19,61.28,61.64,62.84,60.55,386.56,
31-May-19,64.49,66.24,66.28,64.37,21.75,
30-May-19,66.87,69.68,69.96,66.31,105.27,
29-May-19,69.45,70.1,70.1,68.08,148.48,
28-May-19,70.11,69.99,70.59,69.58,238.88,
27-May-19,70.11,69.15,70.23,68.53,72.18,
24-May-19,68.69,67.99,69.3,67.33,292.09,
23-May-19,67.76,70.86,70.97,67.02,434.54,
22-May-19,70.99,71.91,72.04,70.42,371.52,
21-May-19,72.18,72.15,72.52,71.63,303.74,
20-May-19,71.97,72.5,73.4,71.6,301.98,
17-May-19,72.21,72.82,73.23,71.79,255.53,
16-May-19,72.62,72.05,73.36,71.82,326.44,
15-May-19,71.77,70.9,72.25,70.42,272.44,
14-May-19,71.24,70.02,71.65,69.93,299.77,
13-May-19,70.23,70.83,72.58,69.72,373.47,
10-May-19,70.62,70.45,71.23,70.18,300.46,
9-May-19,70.39,70.23,70.65,69.4,328.74,
8-May-19,70.37,69.88,70.7,69.33,295.44,
7-May-19,69.88,71.15,71.33,69.38,332.07,
6-May-19,71.24,70.59,71.79,68.79,227.02,
3-May-19,70.85,70.48,71.54,69.95,249.81,
2-May-19,70.75,72,72.22,69.68,346.63,
1-May-19,72.18,71.73,72.36,71.3,230.8,
30-Apr-19,72.8,71.94,73.27,71.73,25.34,
29-Apr-19,72.04,71.56,72.5,71.06,147.41,
26-Apr-19,72.15,74.2,74.42,71.3,222.89,
25-Apr-19,74.35,74.46,75.6,74,309.21,
24-Apr-19,74.57,74.27,74.73,74.02,276.67,
23-Apr-19,74.51,74.38,74.73,73.99,308.99,
22-Apr-19,74.04,71.93,74.52,71.86,305.17,
18-Apr-19,71.97,71.63,72.04,71.2,259.04,
17-Apr-19,71.62,71.83,72.27,71.45,276.61,
16-Apr-19,71.72,71.21,71.95,70.74,273.9,
15-Apr-19,71.18,71.55,71.6,70.78,219.15,
12-Apr-19,71.55,70.95,71.87,70.9,237.22,
11-Apr-19,70.83,71.56,71.68,70.57,278.09,
10-Apr-19,71.73,70.82,71.78,70.57,288.89,
9-Apr-19,70.61,71.19,71.34,70.3,267.49,
8-Apr-19,71.1,70.56,71.19,70.43,288.13,
5-Apr-19,70.34,69.13,70.48,68.92,263.87,
4-Apr-19,69.4,69.44,70.03,68.87,281.88,
3-Apr-19,69.31,69.47,69.96,68.8,341.5,
2-Apr-19,69.37,69.22,69.58,68.69,299.3,
1-Apr-19,69.01,67.58,69.22,67.58,320.77,
29-Mar-19,68.39,68.01,68.89,67.81,20.62,
28-Mar-19,67.82,67.75,68,66.54,131.64,
27-Mar-19,67.83,67.9,68.35,67.19,148.15,
26-Mar-19,67.97,67.36,68.23,67.24,197.54,
25-Mar-19,67.21,67,67.65,66.36,216.76,
22-Mar-19,67.03,67.76,67.98,66.2,284.52,
21-Mar-19,67.86,68.38,68.69,67.59,303.23,
20-Mar-19,68.5,67.66,68.57,67.19,235.49,
19-Mar-19,67.61,67.49,68.2,67.13,234.14,
18-Mar-19,67.54,67.14,67.69,66.69,208.53,
15-Mar-19,67.16,67.18,67.71,66.13,254.32,
14-Mar-19,67.23,67.65,68.14,67.03,235.99,
13-Mar-19,67.55,66.91,67.76,66.7,243.2,
12-Mar-19,66.67,66.7,67.39,66.34,252.13,
11-Mar-19,66.58,65.76,66.75,65.63,247.81,
8-Mar-19,65.74,66.08,66.09,64.02,316.39,
7-Mar-19,66.3,65.88,67,65.75,276.24,
6-Mar-19,65.99,65.49,66.18,65.22,283.2,
5-Mar-19,65.86,65.46,66.23,65.04,216.39,
4-Mar-19,65.67,64.97,66.34,64.93,233.54,
1-Mar-19,65.07,66.48,67.14,64.59,297.19,
28-Feb-19,66.03,66.38,66.38,65.67,19.67,
27-Feb-19,66.39,65.64,66.7,65.27,102.14,
26-Feb-19,65.21,64.79,65.74,64.32,127.6,
25-Feb-19,64.76,66.97,67.47,64.54,220.94,
22-Feb-19,67.12,66.96,67.73,66.87,177.62,
21-Feb-19,67.07,67.05,67.31,66.69,245.86,
20-Feb-19,67.08,66.3,67.38,65.63,276.48,
19-Feb-19,66.45,66.44,66.65,65.58,246.65,
18-Feb-19,66.5,66.39,66.83,65.9,175.24,
15-Feb-19,66.25,64.86,66.39,64.42,290.55,
14-Feb-19,64.57,63.69,64.81,63.25,287.45,
13-Feb-19,63.61,62.7,63.98,62.69,269.68,
12-Feb-19,62.42,61.59,63.34,61.59,278.8,
11-Feb-19,61.51,62.11,62.34,60.9,280.96,
8-Feb-19,62.1,61.66,62.36,61.04,254.95,
7-Feb-19,61.63,62.5,62.91,60.6,286.17,
6-Feb-19,62.69,62.06,62.8,61.05,225.57,
5-Feb-19,61.98,62.64,63.02,61.72,215.36,
4-Feb-19,62.51,62.83,63.63,61.28,297.43,
1-Feb-19,62.75,61.06,62.97,60.46,267.22,
31-Jan-19,61.89,61.97,62.32,61.57,20.63,
30-Jan-19,61.65,61.26,62.67,61.04,90.93,
29-Jan-19,61.32,59.87,61.79,59.75,142.13,
28-Jan-19,59.93,61.49,61.69,59.49,214.19,
25-Jan-19,61.64,61.13,61.92,60.7,218.03,
24-Jan-19,61.09,61.02,61.51,60.41,274.48,
23-Jan-19,61.14,61.37,62.33,60.21,308.46,
22-Jan-19,61.5,62.59,62.71,60.57,283.22,
21-Jan-19,62.74,62.74,63.15,62.25,138.08,
18-Jan-19,62.7,61.33,63,61.32,288.91,
17-Jan-19,61.18,61.05,61.54,60.04,278.42,
16-Jan-19,61.32,60.42,61.45,60.03,315.59,
15-Jan-19,60.64,59.36,60.86,59.11,234.36,
14-Jan-19,58.99,60.62,61.04,58.9,263.28,
11-Jan-19,60.48,61.19,62.49,60.08,292.79,
10-Jan-19,61.68,61.15,61.91,60.44,300.92,
9-Jan-19,61.44,59.15,61.69,59.05,329.05,
8-Jan-19,58.72,57.64,58.87,57.13,288.25,
7-Jan-19,57.33,57.41,58.93,57.26,296.58,
4-Jan-19,57.06,55.67,58.31,55.34,321.11,
3-Jan-19,55.95,54.29,56.3,53.93,278.36,
2-Jan-19,54.91,54.12,56.56,52.51,300.95,
